TAXON_ORDER,CATEGORY,SPECIES_CODE,SCI_NAME,PRIMARY_COM_NAME,en_IOC,ORDER1,FAMILY,SPECIES_GROUP,REPORT_AS
276,issf,tacgoo1,Branta hutchinsii taverneri,Cackling Goose (Taverner's),Cackling Goose (Taverner's),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,cacgoo1
276.1,hybrid,x00692,Chen caerulescens x Branta hutchinsii,Snow x Cackling Goose (hybrid),Snow x Cackling Goose (hybrid),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
276.2,hybrid,x00694,Chen rossii x Branta hutchinsii,Ross's x Cackling Goose (hybrid),Ross's x Cackling Goose (hybrid),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
276.25,hybrid,x00722,Branta bernicla x hutchinsii,Brant x Cackling Goose (hybrid),Brant x Cackling Goose (hybrid),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
276.3,hybrid,x00414,Anser albifrons x Branta hutchinsii,Greater White-fronted x Cackling Goose (hybrid),Greater White-fronted x Cackling Goose (hybrid),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
276.6,hybrid,x00416,Branta leucopsis x hutchinsii,Barnacle x Cackling Goose (hybrid),Barnacle x Cackling Goose (hybrid),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
277,species,cangoo,Branta canadensis,Canada Goose,Canada Goose,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
278,issf,cangoo4,Branta canadensis moffitti/maxima,Canada Goose (moffitti/maxima),Canada Goose (moffitti/maxima),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,cangoo
281,issf,cangoo3,Branta canadensis occidentalis/fulva,Canada Goose (occidentalis/fulva),Canada Goose (occidentalis/fulva),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,cangoo
284,issf,cangoo1,Branta canadensis canadensis/interior,Canada Goose (canadensis/interior),Canada Goose (canadensis/interior),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,cangoo
287,issf,lecgoo1,Branta canadensis parvipes,Canada Goose (parvipes),Canada Goose (parvipes),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,cangoo
287.1,hybrid,swagoo3,Anser cygnoides (Domestic type) x Branta canadensis,Swan Goose (Domestic type) x Canada Goose (hybrid),Swan Goose (Domestic type) x Canada Goose (hybrid),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
287.2,hybrid,x00650,Anser brachyrhynchus x Branta canadensis,Pink-footed x Canada Goose (hybrid),Pink-footed x Canada Goose (hybrid),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,
